keys,format,vi,en
@TUTORIAL_DOG_SPAWN_3,,"Ok, Giờ tôi xin hướng dẫn bạn thêm thêm về một số tính năng khác trong trận đấu:","Ok, now, allow me to explain a bit more about the other features that you can use inside the battlefield:"
@TUTORIAL_DOG_SPAWN_4,,Bạn có thể [hi]nâng cấp số tiền nhận được theo thời gian[/hi] cũng như [hi c=yellow]số tiền tối đa chứa được[/hi] bằng cách nhấn vào nút này. Bạn chỉ có thể nâng cấp khi có đủ số tiền ghi ở trên nút.,You can upgrade money generation efficiency as well as the maximum amount of money that you can hold by pressing this button. You can only upgrade once you have enough money written on the button.
@TUTORIAL_DOG_SPAWN_5,,"Đây là [hi]nút đổi hàng triệu hồi Chó[/hi], hiện tại ta chỉ có một loại Chó nên nút này không cần thiết cho lắm, nhưng về sau khi bạn có nhiều Chó hơn nó sẽ trở nên quan trọng hơn.",This is the switch row of summon boxes button. Right now it is pretty useless but later on after you have recruited more Dogs this will provide more useful.
@TUTORIAL_DOG_SPAWN_6,,Tiếp theo là các [hi]nút kỹ năng[/hi]. Kỹ năng cho phép bạn hỗ trợ loài Chó chúng tôi bằng [hi]hành động đặc biệt tác động lên trận đấu.[/hi],Next up is the skill buttons. Skills allow you to support our Dogkind by performing a certain special action affecting the battlefield.
@TUTORIAL_DOG_SPAWN_7,,"Kỹ năng [hi]không tốn tiền để sử dụng[/hi], khá là tuyệt nhỉ? Mặc dù thòi gian hồi kỹ năng khá là lâu. Hãy dùng nó khi cần thiết!","Skills do not require money to use, pretty neat eh? Although the recharge time is pretty long. Use them when necessary!"
@TUTORIAL_DOG_SPAWN_8,,"Trong một số trường hợp bạn muốn [hi]thời gian trôi qua nhanh hơn[/hi], bạn có thể bấm nút này. Bấm lại nút một lần nữa sẽ biến thời gian trôi lại như bình thường.","In some cases you might want to speed up the actions inside the battlefield, you can do so with this button. Pressing the same button again will turn the speed back to normal."
@TUTORIAL_DOG_SPAWN_9,,Một tính năng khá quan trọng trong trận đấu chính là [hi]tầm nhìn[/hi]! Bạn có thể dùng các nút này để [hi]di chuyển và phóng to/thu nhỏ tầm nhìn[/hi]. [jump](Hoặc bạn có thể dùng các phím mũi tên trên bàn phím!)[/jump],"Another pretty important feature is vision! Use these buttons to move and zoom in/zoom out what you can see... Or, you can just use the arrow keys on the keyboard!"
@TUTORIAL_DOG_SPAWN_10,,"[jump]Nói mới nhớ![/jump] Tất cả các tính năng mà tôi đã nói từ nảy giờ [hi]đều có phím tắt riêng trên bàn phím![/hi] Bạn có thể xem nó là nút gì bằng cách [hi]hơ chuột và nút muốn xem[/hi]. Ngoài ra, nếu muốn, bạn có thể vào mục [hi]Cài đặt[/hi] để tùy chỉnh phím tắt sao cho phù hợp với mình","I almost forgot! All of the features I just talked about all have their own respective shortcut keys on the keyboard. you can check what key it is by hovering on the button of a feature you want to check. And if you want, you can change those keys to be ones that you find comfortable in the Settings menu."
@TUTORIAL_DOG_SPAWN_11,,"Và cuối cùng, bạn có thể [hi]tạm dừng trận đấu[/hi] bằng nút này.","And lastly, you can pause the game using this button."
@TUTORIAL_DOG_SPAWN_12,,"[wave]Phù...[/wave] Ok, giải thích nhiêu đó đủ rồi, [jump]hãy tiêu diệt kẻ địch và giành lại vùng đất Chó của bọn tôi thôi!!![/jump]","Phew... Ok, that's enough explaining, let's destroy the enemies and took back our Doggo land!!!"
@TUTORIAL_DOG_SPAWN_13,,"Hả? Kẻ địch là ai ư? [hi c=red][wave]Bọn chúng là những con vật cực kỳ xảo quyệt và kinh tởm[/wave], [shake]bọn chúng chính là...[/shake][/hi]","What? Who are the enemies? They are devilish and vile creatures, they are..."
@TUTORIAL_CAT_SPAWN_1,,[hi c=red]...Loài Mèo.[/hi],...The Catkind.
@TUTORIAL_CAT_SPAWN_2,,"Khi tiêu diệt được một con [hi c=red]Mèo[/hi], bạn sẽ được [hi c=yellow]thưởng một lượng tiền nhất định.[/hi]","When you kill a Cat, you will be rewarded a certain amount of money."
@TUTORIAL_CAT_SPAWN_3,,"[jump]Càng có thêm lí do để tiêu diệt bọn Mèo!![/jump] Nào, hãy sử dụng những kiến thức vừa học được để tiêu diệt bọn chúng và phá hủy Thành Mèo tà đạo mà bọn chúng xây dựng thôi!!!","All the more reasons to get rid of those Cats!! Now, utilize the knowledge that you have learned to destroy them and their pagan Cat Towers!!!"
@TUTORIAL_CAT_TOWER_DAMAGED_1,,"[jump]Hay lắm[/jump], đã đến lúc công phá thành rồi! [wave]một khi [hi]máu của thành này trở về 0[/hi] thì chúng ta sẽ thắng![/wave]","Nicely done, time to break the tower! Once the tower health drops to 0 we will win!"
@TUTORIAL_WON_1,,[jump]Hay quá!!! Chúng ta thắng rồi![/jump],Awww Yeah!!! We Won!
@TUTORIAL_WON_2,,Cảm ơn bạn đã chỉ huy chúng tôi một cách tài tình! ,Thank you for leading us to victory masterfully!
@TUTORIAL_WON_3,,"Nhưng hãy nhớ rằng: sẽ còn nhiều bất ngờ xảy ra ở các vùng đất khác mà bọn Mèo chiếm đóng, cho nên hãy cẩn thận. Bây giờ hãy ăn mừng thôi hehe!","But remember: there are many surprises ahead in lands that are captured by those Cats, therefore be careful. Now let's celebrate our victory hehe!"
@TUTORIAL_LOST_ONCE_1,,...,...
@TUTORIAL_LOST_ONCE_2,,"Thôi không sao, thua keo này ta bày keo khác. Chúng ta sẽ tiêu diệt bọn chúng ở đợt sau.","That's okay, we can start again. We'll get them next time."
@TUTORIAL_LOST_TWICE_1,,...,...
@TUTORIAL_LOST_TWICE_2,,"Hmmm, có khi nào khả năng hướng dẫn của tôi còn quá kém. Ngôn ngữ con người khó sử dụng quá đi.","Hmmm, maybe my explaining skill is still quite poor. Human language is pretty hard to use. "
@TUTORIAL_LOST_TWICE_3,,"Được rồi, tôi sẽ hướng dẫn lại cho bạn một lần nữa ở lần sau.","Alright, I'll explain it again for you next time."
@TUTORIAL_LOST_THRICE_1,,...,...
@TUTORIAL_LOST_THRICE_2,,"[jump]Này!!![/jump] [shake]Bạn có nghe tôi hướng dẫn khi nảy không đấy???[/shake] Bạn chỉ việc đợi tiền tăng lên rồi gọi Chó ra là sẽ thắng mà, có gì khó đâu???","Hey!!! Did you even listen to what I was saying earlier??? All you gotta do was waiting for money to goes up and called up those Dogs and then you won, what's so hard about that???"
@TUTORIAL_LOST_THRICE_3,,[wave]Được rồi. Bình tĩnh nào...[/wave] Thử lại.,Alright... Calm down... Again.
@TUTORIAL_LOST_THRICE_4,,"Ta thử lại một lần nữa nha, tôi cũng sẽ hướng dẫn cho bạn một lần nữa... Bạn hãy nhớ chú ý vào. ","Let's try again ok buddy, I will also try to explain to you again... Please pay attention."
@TUTORIAL_LOST_THRICE_5,,"Bạn chỉ việc đợi tiền lên và gọi Chó, ắc sẽ thắng, cứ làm vậy là được. Nào, cùng đánh chiếm lại vùng đất này nào.","You just have to wait until you have enough money and summon the Dogs, then you will win, just do that and you will be okay. Now, let's capture this land again."
@TUTORIAL_KILL_1,,[shake]THẬT KHÔNG THỂ TIN ĐƯỢC!!!![/shake],UNBELIEVABLE!!!
@TUTORIAL_KILL_2,,"[shake]Ngân sách Chó của chúng tôi có hạn, không thể nào trao quyền chỉ huy cho một người như thế này được![/shake]","Our Dog resources are not unlimited, we absolutely can not let some one like this guy to lead us!"
@TUTORIAL_KILL_3,,[shake][hi c=red]Tại sao??? Lí do gì mà Người lại để bọn Chó chúng tôi 4 lần liên tiếp phải thất bại. Bao nhiêu chú Chó đã hi sinh trên chiến trường? HỌ CHẾT VÌ LÍ DO GÌ ĐÂY???[/hi][/shake],Why??? For what reason that You have to let us Dogkind 4 times in a row face defeat. How many Dogs has died on the battlefield? AND FOR WHAT REASON DID THEY DIED???
@TUTORIAL_KILL_4,,Có khi nào... [hi c=red][shake]Có khi nào ngươi!!![/shake] [wave]Ngươi là gián điệp được bọn Mèo gửi qua đây để làm phá hỏng kế hoạch của bọn Chó ta?[/wave][/hi],Could it be that... that You!!! You must be a spy that the Catkind sent here to sabotage our plan!
@TUTORIAL_KILL_5,,[hi c=red]Được lắm... [shake]CHẾT!!![/shake][/hi],Right... DIE!!!
@BAD_ENDING,,"Và thế là bạn đã bị thủ tiêu và thay thế bởi một sinh vật khác...


BAD ENDING.","And so you were disposed of and replaced by another being...


BAD ENDING."
@BAD_ENDING_DOG_OBTAINED,,Một sự hiện diện đáng kinh hoàng đã được giáng xuống thế giới này.,A terrifying presence has entered this world.
@TUTORIAL_TEAM_SETUP_BUTTON_1,,"Hay lắm, nhờ bạn mà giờ đây sức mạnh của loài chúng tôi đã tăng lên đáng kể hơn trước.","Nice, thanks to you our power has increased significantly."
@TUTORIAL_TEAM_SETUP_BUTTON_2,,"Bạn hãy bấm vào nút ""Thiết lập đội hình"" để thêm Chó hoặc kỹ năng mới mở khóa của bạn vào đội hình của mình.","Press the ""Team setup"" button to add Dogs or Skills that you have unlocked into your team."
@TUTORIAL_TEAM_SETUP_1,,"Đây là nơi thiết lập đội hình, bạn có thể quản lý Chó và kỹ năng vào đội hình hiện tại sao cho phù hợp với lối chơi của bạn.","This is the team setup area, you can manage Dogs and Skills into your team to suits your playstyle."
@TUTORIAL_TEAM_SETUP_2,,"Một khi đã thiết lập đội hình xong, bạn có thể bấm ""Quay lại"" để trở lại Bản đồ Thế giới. Đội hình sẽ được lưu lại tự động.","After you have finished the team setup. you can press the ""Go back"" button to go back to the World Map. Team setup will be saved automatically."
@TUTORIAL_DOGBASE_1,,"Hé lô! Chào mừng đến căn cứ Chó của bọn tôi. Hãy bấm vào nút ""Viễn chinh"" để bắt đầu hành trình giành lại lãnh thổ của hành tinh Doggo đang bị kẻ địch chiếm đóng.","Hi there! Welcome to our Dogbase. Please press the ""Expedition"" button to start our journey taking back our homeland which has been invaded by the enemy."
@TUTORIAL_DOGBASE_AFTER_BATTLEFIELD_1,,"Nhìn số lượng Xương mà bạn thu thập được sau trận đấu kìa! Hãy bấm nút ""Nâng cấp"" để tiêu xài Xương nào.","Look at those Bones that you have collected after battle! Let's press the ""Upgrade"" to spend them."
@TUTORIAL_UPGRADE_1,,Chào mừng đến với khu vực nâng cấp! Đây là nơi để bạn mở khóa và nâng cấp nhứng chú Chó yêu quý cũng như Kỹ năng hay Nội tại trong trận đấu.,Welcome to the upgrade area! this is where you can unlock and upgrade those precious Dogs as well as Skills or Passives.
@TUTORIAL_UPGRADE_2,,"Hãy đọc phần ""Thông tin"" để biết thêm về thứ mà bạn có ý định mở khóa/nâng cấp.","Read the ""Information"" section to know more about what you are going to unlock/upgrade."
@TUTORIAL_BOSS_1,,Đây là vũ khí bí mật của loài Mèo... Trùm Mèo.,This is the Catkind secret weapon... Boss Cat.
@TUTORIAL_BOSS_2,,"Trùm Mèo có sức mạnh vượt trội hơn đồng bọn Mèo khác của chúng, nên hãy cẩn thận!","Boss Cat has immense power compare to their comrades, so be careful!"
@TUTORIAL_BOSS_3,,Chúc may mắn.,Good luck.
,,...,...
@TUTORIAL_RUSH_1,,Đây là lãnh thổ khá là đặt biệt mà bọn Mèo chiếm đóng.,This area right here is quite a special place that the Catkind has taken over.
@TUTORIAL_RUSH_2,,"Ở đây mọc nhiều cỏ thuộc loại có tên là ""Bạc hà Mèo"", nhiều nguồn tin thu được từ tình báo viên của chúng tôi cho rằng đây là một trong những lí do chính mà bọn Mèo đến xâm chiếm hành tinh này: Khai thác tài nguyên Bạc hà Mèo.","Here is home to a certain type of weed call ""Catnip"", many sources from our Intelligence seems to conclude that this one of the reason why they invade our homeland: To extract this Catnip resource."
@TUTORIAL_RUSH_3,,"Cho nên hãy cẩn thận, khu vực này ắc hẳn chứa nhiều Mèo, và bọn chúng cũng ắc hẳn khá là điên á.","So keep your guard up! This area must be full of Cats, and those Cat must also be crazy as well."
@TUTORIAL_FINAL_BOSS_1,,Cuối cùng bọn Chó cũng đã đặt chân được đến đây một lần nữa...,"FInally, us Dogkind were able to set paw to this land once more..."
@TUTORIAL_FINAL_BOSS_2,,Đây là nơi đàu tiên mà loài Mèo xâm chiếm hành tinh Doggo của bọn tôi.,This is where the Catkind first invaded our planet Doggo.
@TUTORIAL_FINAL_BOSS_3,,Tôi hi vọng bạn có thể đánh đuổi được bọn chúng ra khỏi đây. Nhưng...,I really hope you can beat them out of this place. But...
@TUTORIAL_FINAL_BOSS_4,,Bạn cần phải biết điều này: Đây cũng chính là hang ổ của Chúa Mèo... Hắn chính là kẻ nắm lĩnh đội quân Mèo đi xâm chiếm hành tinh này.,You have to know that: This place is also the lair of the of God Cat... It is the being that controls the Cat army invading this planet.
@TUTORIAL_FINAL_BOSS_5,,Không đếm xuể bao nhiêu chú Chó đã bị thiêu đốt thành tro dưới Ngọn lửa Địa ngục của hắn.,Uncountable amount of Dogs has been reduced to ashes by it's Hell Fire
@TUTORIAL_FINAL_BOSS_6,,"Không biết bao nhiêu chú Chó hằng đêm không ngủ được, hằng ngày không sống được bởi sự hiện diện che bóng ánh Mặt trời của hắn.","Many Dogs every night, unable to sleep, every day unable to live because of it's present that blocks even the Sun and it's sunlight"
@TUTORIAL_FINAL_BOSS_7,,"Làm ơn, hãy giúp bọn tôi dành lại lãnh thổ này.","Please, help us take back our land."
@TUTORIAL_FINAL_BOSS_8,,Giải phóng chúng tôi và tiêu diệt Sử giả của Địa ngục: Chúa Mèo Ramiel.,Liberate us and kill Hell's Messenger: God Cat Ramiel.
@TUTORIAL_FINAL_BOSS_9,,Bọn tôi đặt niềm tin vào bạn.,We put our trust in you.
@INTRO_SHRINE_MAIDEN_1,3,"Tại hành tinh Doggo, một biến cố bất ngờ đã xảy ra...","Testing 1,2, 3..."
@INTRO_SHRINE_MAIDEN_2,"2,2,2.5","Một hồ nước có tên là Xuân Gâu bỗng dưng xuất hiện một ngôi đền,
Nó nằm ngay trên mặt hồ
Và cách căn cứ Chó một khoảng không quá xa",asfasfaf afs saf a
@INTRO_SHRINE_MAIDEN_3,3.5,"Tò mò về sự việc này, loài Chó quyết định đi đến hồ nước để tìm hiểu.",ADDDDDDDDDDD
@INTRO_SHRINE_MAIDEN_4,"2,7","Từ ngoài xa, họ nhìn thấy dáng của một chú Chó
Với hi vọng rằng chú Chó này là một nhân tài có thể giúp đánh đuổi bọn Mèo, loài Chó càng tự tin bước đến ngôi đền.",asfasfaf afs saf a
@INTRO_SHRINE_MAIDEN_5,0.75 LabelRed,Nhưng...,
@INTRO_SHRINE_MAIDEN_6,"5,4","Bất ngờ thay, họ phát hiện ra rằng loài Mèo đã đi trước họ một bước và đã xâm nhập vào trong ngôi đền
Một luồng ám khí len lỏi khắp không trung làm ô uế cả hồ nước.",aasfasf
@INTRO_SHRINE_MAIDEN_7,3,"Không sợ hãi, loài Chó tiếp tục tiến bước, đi đến trước hồ...",
